experiment,hidden_layers,dropout,epochs_trained,best_epoch,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
small_mlp,[32],0.3,150,148,0.35387365310588087,0.8536585365853658,0.8602150537634409,0.8121827411167513,0.835509138381201,0.9241459146295068,0.351647651223217,0.8524970963995354,0.8598382749326146,0.8096446700507615,0.8339869281045752,0.9253986456374526
recommended_mlp,"[64, 32]",0.3,150,90,0.3331417136422156,0.859465737514518,0.8438287153652393,0.850253807106599,0.8470290771175727,0.9328769877933456,0.3387345106067281,0.8687572590011614,0.8630490956072352,0.8477157360406091,0.8553137003841229,0.9310563158295198
large_mlp,"[128, 64, 32]",0.3,150,53,0.32650594195214716,0.8536585365853658,0.8401015228426396,0.8401015228426396,0.8401015228426396,0.9367275731257948,0.33669584411500364,0.851335656213705,0.8556149732620321,0.8121827411167513,0.8333333333333334,0.9336867792041218
