experiment,hidden_layers,dropout,epochs_trained,best_epoch,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
small_mlp,[32],0.25,100,47,0.38503081581038884,0.8388625592417062,0.8297872340425532,0.8125,0.8210526315789474,0.9110507246376812,0.3196675545796399,0.8578199052132701,0.83,0.8645833333333334,0.8469387755102041,0.9384510869565218
recommended_mlp,"[64, 32]",0.25,100,28,0.3859368821879699,0.8578199052132701,0.8367346938775511,0.8541666666666666,0.845360824742268,0.9157608695652174,0.32066887984343617,0.8672985781990521,0.84,0.875,0.8571428571428571,0.9346467391304347
large_mlp,"[128, 64, 32]",0.25,100,18,0.37426178461002513,0.8672985781990521,0.84,0.875,0.8571428571428571,0.9171195652173914,0.3447591097433985,0.8483412322274881,0.8137254901960784,0.8645833333333334,0.8383838383838383,0.9244112318840579
