experiment,hidden_layers,dropout,epochs_trained,best_epoch,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
small_mlp,[32],0.2,100,82,0.34964703997806945,0.8536585365853658,0.8661202185792349,0.8045685279187818,0.8342105263157895,0.9249230969901847,0.3443166698382153,0.8548199767711963,0.8725761772853186,0.799492385786802,0.8344370860927153,0.9288117262144153
recommended_mlp,"[64, 32]",0.2,100,75,0.30405908006131993,0.8652729384436701,0.8545918367346939,0.850253807106599,0.8524173027989822,0.9435292774921465,0.36858761639406734,0.8745644599303136,0.8629441624365483,0.8629441624365483,0.8629441624365483,0.9279530212284915
large_mlp,"[128, 64, 32]",0.2,100,44,0.3331441954384005,0.8606271777003485,0.8309178743961353,0.8730964467005076,0.8514851485148515,0.9373851889694453,0.3405624729138772,0.8652729384436701,0.845771144278607,0.8629441624365483,0.8542713567839196,0.933876998663029
