experiment,hidden_layers,dropout,epochs_trained,best_epoch,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
small_mlp,[32],0.3,100,100,0.3959908688594517,0.8257839721254355,0.8315217391304348,0.7766497461928934,0.8031496062992126,0.9037543886346591,0.4082048169827212,0.8083623693379791,0.817174515235457,0.748730964467005,0.7814569536423841,0.8948928792704269
recommended_mlp,"[64, 32]",0.3,100,99,0.3651404339262002,0.8443670150987224,0.8385416666666666,0.817258883248731,0.8277634961439588,0.9168414874074718,0.35844291706810705,0.8373983739837398,0.8377659574468085,0.799492385786802,0.8181818181818182,0.920067065946369
large_mlp,"[128, 64, 32]",0.3,100,98,0.34382262296377575,0.8524970963995354,0.8345864661654135,0.8451776649746193,0.8398486759142497,0.9266024630702508,0.326617315117352,0.867595818815331,0.8571428571428571,0.8527918781725888,0.8549618320610687,0.9340291742301547
