experiment,hidden_layers,dropout,epochs_trained,best_epoch,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
small_mlp,[32],0.3,100,100,0.4137265867249096,0.8199052132701422,0.8085106382978723,0.7916666666666666,0.8,0.8933876811594204,0.35884379563738383,0.8388625592417062,0.8297872340425532,0.8125,0.8210526315789474,0.9241394927536232
recommended_mlp,"[64, 32]",0.3,100,99,0.39587275464952837,0.8530805687203792,0.8494623655913979,0.8229166666666666,0.8359788359788359,0.9083333333333333,0.33690643395292813,0.8341232227488151,0.8210526315789474,0.8125,0.8167539267015707,0.9290307971014492
large_mlp,"[128, 64, 32]",0.3,100,65,0.38694005208840304,0.8530805687203792,0.8282828282828283,0.8541666666666666,0.841025641025641,0.9111413043478261,0.3286228654508907,0.8625592417061612,0.8316831683168316,0.875,0.8527918781725888,0.9322010869565218
