epoch,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc
1,0.6275515161092312,0.4776176935971066,0.8009478672985783,0.7934782608695652,0.7604166666666666,0.776595744680851,0.8672101449275362
2,0.5056401537123666,0.4382907780708295,0.8293838862559242,0.8333333333333334,0.78125,0.8064516129032258,0.8940217391304348
3,0.4457305831346365,0.41408766587198625,0.8388625592417062,0.8163265306122449,0.8333333333333334,0.8247422680412371,0.9009057971014492
4,0.41876694312582097,0.40783014589858846,0.8388625592417062,0.7767857142857143,0.90625,0.8365384615384616,0.9096014492753624
5,0.40942127965523256,0.41106614230368377,0.8388625592417062,0.81,0.84375,0.826530612244898,0.9008152173913043
6,0.382782377170074,0.3623236736980095,0.8767772511848341,0.8804347826086957,0.84375,0.8617021276595744,0.9217391304347826
7,0.35416574986521177,0.37205538513818626,0.8436018957345972,0.8118811881188119,0.8541666666666666,0.8324873096446701,0.9104166666666665
8,0.36264782981374794,0.3563194618829619,0.8767772511848341,0.85,0.8854166666666666,0.8673469387755102,0.917391304347826
9,0.34583401379494766,0.3994658787103626,0.8483412322274881,0.82,0.8541666666666666,0.8367346938775511,0.907608695652174
10,0.3482769677682845,0.37499033557295236,0.8483412322274881,0.7758620689655172,0.9375,0.8490566037735849,0.913768115942029
11,0.30768316978873733,0.47343436476743617,0.8246445497630331,0.7864077669902912,0.84375,0.8140703517587939,0.9001811594202899
12,0.30779922655468733,0.4019127876555185,0.8293838862559242,0.8333333333333334,0.78125,0.8064516129032258,0.9063405797101449
13,0.29845932785372997,0.4518802620788321,0.8246445497630331,0.8105263157894737,0.8020833333333334,0.806282722513089,0.891213768115942
14,0.30121791256704367,0.4231377960098863,0.8388625592417062,0.8369565217391305,0.8020833333333334,0.8191489361702128,0.9040760869565218
15,0.3044074204256526,0.3718157280677868,0.8672985781990521,0.8333333333333334,0.8854166666666666,0.8585858585858586,0.916213768115942
16,0.2885631330991838,0.37417755823282267,0.8578199052132701,0.8173076923076923,0.8854166666666666,0.85,0.9147644927536231
17,0.279610348951562,0.40896161585622487,0.8293838862559242,0.8125,0.8125,0.8125,0.9046195652173913
18,0.2712109933120076,0.4401499149499911,0.8483412322274881,0.8478260869565217,0.8125,0.8297872340425532,0.9170289855072463
19,0.2592372082765982,0.4712028948334156,0.8199052132701422,0.8372093023255814,0.75,0.7912087912087912,0.8984601449275362
20,0.24943803959611188,0.4246707876429174,0.8530805687203792,0.8217821782178217,0.8645833333333334,0.8426395939086294,0.9153985507246377
21,0.2532522074727967,0.60768838742333,0.8009478672985783,0.7934782608695652,0.7604166666666666,0.776595744680851,0.8780797101449275
22,0.27131480091690025,0.3789465976834862,0.8625592417061612,0.819047619047619,0.8958333333333334,0.8557213930348259,0.921105072463768
23,0.2663201798429693,0.5710443012522295,0.7914691943127962,0.7954545454545454,0.7291666666666666,0.7608695652173914,0.8916666666666666
24,0.26754506172729414,0.4832976745768181,0.8293838862559242,0.8260869565217391,0.7916666666666666,0.8085106382978723,0.8945652173913043
25,0.24453380832079608,0.5014856834829701,0.8151658767772512,0.8,0.7916666666666666,0.7958115183246073,0.8953804347826085
26,0.2453594768457424,0.4156240436703108,0.8530805687203792,0.8037383177570093,0.8958333333333334,0.8472906403940886,0.9058876811594203
27,0.24470733351837556,0.5010413884834091,0.8293838862559242,0.7941176470588235,0.84375,0.8181818181818182,0.8909420289855073
28,0.24122275689601333,0.4630132865566778,0.8483412322274881,0.826530612244898,0.84375,0.8350515463917526,0.9133152173913043
29,0.22782288246024687,0.4402062946586247,0.8530805687203792,0.8421052631578947,0.8333333333333334,0.837696335078534,0.9096920289855073
30,0.2370348218850535,0.45419994773457967,0.8483412322274881,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9106884057971014
31,0.22320000673528242,0.3921436414616933,0.8483412322274881,0.82,0.8541666666666666,0.8367346938775511,0.9219202898550725
32,0.23627405120490708,0.43813757760829836,0.8530805687203792,0.8350515463917526,0.84375,0.8393782383419689,0.9181159420289855
33,0.2219614100731989,0.44044558739210193,0.8578199052132701,0.8055555555555556,0.90625,0.8529411764705882,0.908786231884058
34,0.22674193043230834,0.46902850538633445,0.8341232227488151,0.8588235294117647,0.7604166666666666,0.8066298342541437,0.9139492753623188
35,0.2225543868287178,0.42502670943454546,0.8293838862559242,0.8061224489795918,0.8229166666666666,0.8144329896907216,0.9108695652173914
36,0.2044263648693389,0.4273357018475284,0.8578199052132701,0.83,0.8645833333333334,0.8469387755102041,0.916394927536232
37,0.20910350069810205,0.41002541667477216,0.8672985781990521,0.8207547169811321,0.90625,0.8613861386138614,0.9217391304347826
38,0.2162263148407919,0.44448733640508065,0.8625592417061612,0.8316831683168316,0.875,0.8527918781725888,0.9191123188405798
39,0.20894878135810685,0.41774289225232547,0.8246445497630331,0.797979797979798,0.8229166666666666,0.8102564102564103,0.9168478260869566
40,0.19886609337437336,0.583824816190801,0.8199052132701422,0.8295454545454546,0.7604166666666666,0.7934782608695652,0.8858695652173912
41,0.19675032122774339,0.4708823185255177,0.8578199052132701,0.8586956521739131,0.8229166666666666,0.8404255319148937,0.9190217391304347
42,0.17959826324722802,0.5319904932196107,0.8341232227488151,0.8080808080808081,0.8333333333333334,0.8205128205128205,0.9056159420289855
43,0.18259449766270489,0.5917672636384648,0.8199052132701422,0.8085106382978723,0.7916666666666666,0.8,0.8897644927536232
44,0.19826734622814476,0.48149628930182253,0.8530805687203792,0.8282828282828283,0.8541666666666666,0.841025641025641,0.9132246376811595
45,0.20481742071794304,0.497628645450583,0.8672985781990521,0.84,0.875,0.8571428571428571,0.9166213768115943
46,0.1886524472337035,0.4475556289980197,0.8578199052132701,0.83,0.8645833333333334,0.8469387755102041,0.9170289855072464
47,0.1809018927218651,0.4432247346046412,0.8341232227488151,0.8351648351648352,0.7916666666666666,0.8128342245989305,0.9193840579710145
48,0.18196479502451093,0.4871206304049605,0.8483412322274881,0.8478260869565217,0.8125,0.8297872340425532,0.9241847826086956
49,0.18500738971881028,0.42800772522015595,0.8530805687203792,0.8217821782178217,0.8645833333333334,0.8426395939086294,0.921286231884058
50,0.1642291611535552,0.4154141345083431,0.8767772511848341,0.85,0.8854166666666666,0.8673469387755102,0.9312047101449276
51,0.19361423328960775,0.5225679576396942,0.8341232227488151,0.8351648351648352,0.7916666666666666,0.8128342245989305,0.9051630434782608
52,0.1860961386865427,0.4893929771902437,0.8483412322274881,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9152173913043479
53,0.16356768673849276,0.4481491529828564,0.8436018957345972,0.8247422680412371,0.8333333333333334,0.8290155440414507,0.9137681159420289
54,0.17676008269102406,0.49306340635670304,0.8388625592417062,0.8163265306122449,0.8333333333333334,0.8247422680412371,0.902536231884058
