epoch,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc
1,0.6730818551206079,0.6156421747252839,0.7298578199052133,0.7532467532467533,0.6041666666666666,0.6705202312138728,0.8255434782608696
2,0.5616118497483671,0.5081696936869509,0.7582938388625592,0.7227722772277227,0.7604166666666666,0.7411167512690355,0.839945652173913
3,0.4897923969077046,0.47166273266218284,0.7677725118483413,0.7582417582417582,0.71875,0.7379679144385026,0.8630434782608696
4,0.4409345329727001,0.44603492820997376,0.8056872037914692,0.8089887640449438,0.75,0.7783783783783784,0.8734601449275362
5,0.4185172241989828,0.4412210364759816,0.8104265402843602,0.8111111111111111,0.7604166666666666,0.7849462365591398,0.877536231884058
6,0.4068767720764925,0.4261139386920567,0.8199052132701422,0.79,0.8229166666666666,0.8061224489795918,0.8869565217391304
7,0.3805992945339332,0.4248082276204186,0.8151658767772512,0.8,0.7916666666666666,0.7958115183246073,0.8901268115942029
8,0.36573123436947025,0.41527047202485434,0.8246445497630331,0.8241758241758241,0.78125,0.8021390374331551,0.8961956521739132
9,0.3609794270454918,0.3949844958657902,0.8151658767772512,0.7766990291262136,0.8333333333333334,0.8040201005025126,0.9060688405797102
10,0.3437198306282503,0.3979356051621279,0.8436018957345972,0.8315789473684211,0.8229166666666666,0.8272251308900523,0.904981884057971
11,0.35181769884212444,0.39512784842631266,0.8388625592417062,0.8297872340425532,0.8125,0.8210526315789474,0.9078804347826087
12,0.336909761809228,0.3878807414199504,0.8388625592417062,0.8229166666666666,0.8229166666666666,0.8229166666666666,0.908786231884058
13,0.335480000306703,0.39911392507677396,0.8341232227488151,0.7961165048543689,0.8541666666666666,0.8241206030150754,0.9052536231884057
14,0.3204801384699868,0.3795628796256549,0.8483412322274881,0.826530612244898,0.84375,0.8350515463917526,0.9126811594202899
15,0.3161639353594039,0.3887629078180304,0.8625592417061612,0.8073394495412844,0.9166666666666666,0.8585365853658536,0.9116847826086956
16,0.30968962105992004,0.3894663997594779,0.8530805687203792,0.8095238095238095,0.8854166666666666,0.845771144278607,0.9115036231884058
17,0.3140061803135583,0.37757283456235136,0.8672985781990521,0.8333333333333334,0.8854166666666666,0.8585858585858586,0.9156702898550724
18,0.29782321796369154,0.37426178461002513,0.8672985781990521,0.84,0.875,0.8571428571428571,0.9171195652173914
19,0.29477475839860356,0.37710428301474497,0.8625592417061612,0.8383838383838383,0.8645833333333334,0.8512820512820513,0.9180253623188406
20,0.29201038738586726,0.38434223590586425,0.8530805687203792,0.8155339805825242,0.875,0.8442211055276382,0.9165760869565217
21,0.28566901992082877,0.37575235087159686,0.8720379146919431,0.8415841584158416,0.8854166666666666,0.8629441624365483,0.9173007246376811
22,0.27910540543699885,0.3938304955642935,0.8530805687203792,0.8350515463917526,0.84375,0.8393782383419689,0.9144021739130436
23,0.2774157722437509,0.39066113390346274,0.8436018957345972,0.8387096774193549,0.8125,0.8253968253968254,0.9152173913043479
24,0.27696343609446733,0.39804085467663985,0.8625592417061612,0.845360824742268,0.8541666666666666,0.8497409326424871,0.9092391304347825
25,0.26880035210900177,0.3922466193612718,0.8530805687203792,0.8217821782178217,0.8645833333333334,0.8426395939086294,0.9154891304347826
26,0.2759989697667345,0.3879061241709226,0.8530805687203792,0.8282828282828283,0.8541666666666666,0.841025641025641,0.9169384057971014
27,0.2628614179710476,0.38383280771886,0.8530805687203792,0.8421052631578947,0.8333333333333334,0.837696335078534,0.9218297101449274
28,0.263184528599006,0.40408739221604517,0.8436018957345972,0.8387096774193549,0.8125,0.8253968253968254,0.9125905797101449
29,0.2565104115758785,0.40056515354398303,0.8625592417061612,0.8316831683168316,0.875,0.8527918781725888,0.9143115942028985
30,0.25400668083914374,0.4221305151545041,0.8388625592417062,0.8369565217391305,0.8020833333333334,0.8191489361702128,0.912409420289855
31,0.2515266682435609,0.39978837147708185,0.8578199052132701,0.84375,0.84375,0.84375,0.918840579710145
32,0.24945415586480607,0.404633246609385,0.8672985781990521,0.84,0.875,0.8571428571428571,0.9195652173913044
33,0.25128802439708303,0.4035155117794236,0.8578199052132701,0.8367346938775511,0.8541666666666666,0.845360824742268,0.9182065217391304
34,0.2457118819899689,0.40976206011964245,0.8483412322274881,0.826530612244898,0.84375,0.8350515463917526,0.9168478260869565
35,0.24246129471353506,0.40918178319648546,0.8483412322274881,0.82,0.8541666666666666,0.8367346938775511,0.9144927536231885
36,0.24852812719726902,0.3937025690954443,0.8483412322274881,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9210144927536232
37,0.2411001103699278,0.3900137521785582,0.8672985781990521,0.8333333333333334,0.8854166666666666,0.8585858585858586,0.9220108695652174
