epoch,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc
1,0.6653737374189203,0.6098514837676315,0.7440758293838863,0.7560975609756098,0.6458333333333334,0.6966292134831461,0.8332427536231883
2,0.5760417806861805,0.5260056669678168,0.7488151658767772,0.7654320987654321,0.6458333333333334,0.7005649717514124,0.8405797101449276
3,0.519247430287222,0.48378689396437874,0.7867298578199052,0.7865168539325843,0.7291666666666666,0.7567567567567568,0.8567934782608696
4,0.4767913778410829,0.45948261658162304,0.7914691943127962,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.8709239130434783
5,0.45130951661939156,0.44069256912475513,0.7962085308056872,0.7731958762886598,0.78125,0.7772020725388601,0.8808876811594203
6,0.42960478169213834,0.4328770932710566,0.8199052132701422,0.8085106382978723,0.7916666666666666,0.8,0.883695652173913
7,0.4083860754118271,0.42567454370277186,0.8246445497630331,0.8105263157894737,0.8020833333333334,0.806282722513089,0.8879528985507247
8,0.4002545371315799,0.4160402428482381,0.8246445497630331,0.8172043010752689,0.7916666666666666,0.8042328042328042,0.8953804347826088
9,0.3962737137312567,0.41158069041667955,0.8341232227488151,0.8279569892473119,0.8020833333333334,0.8148148148148148,0.8959239130434783
10,0.3800510036563534,0.40842033096399355,0.8341232227488151,0.8144329896907216,0.8229166666666666,0.8186528497409327,0.8984601449275362
11,0.3787686335517277,0.40388725154207783,0.8293838862559242,0.8,0.8333333333333334,0.8163265306122449,0.9010869565217391
12,0.36429244396525345,0.40304340273848077,0.8388625592417062,0.8297872340425532,0.8125,0.8210526315789474,0.9019927536231884
13,0.37063962404979645,0.39437595574776707,0.8293838862559242,0.8061224489795918,0.8229166666666666,0.8144329896907216,0.9075181159420289
14,0.35498439615165917,0.3949972701863655,0.8341232227488151,0.8144329896907216,0.8229166666666666,0.8186528497409327,0.9069746376811594
15,0.3482974159618572,0.3996232874444311,0.8293838862559242,0.8125,0.8125,0.8125,0.905072463768116
16,0.34332052654501666,0.3945199077445749,0.8483412322274881,0.8478260869565217,0.8125,0.8297872340425532,0.908695652173913
17,0.3443753524890008,0.3872073075923875,0.8388625592417062,0.8297872340425532,0.8125,0.8210526315789474,0.9105978260869566
18,0.3380110559372998,0.3962023608492449,0.8436018957345972,0.8387096774193549,0.8125,0.8253968253968254,0.9072463768115941
19,0.33471066307625597,0.3891804933689217,0.8293838862559242,0.8125,0.8125,0.8125,0.9090579710144927
20,0.33270023885146577,0.39042831032197056,0.8530805687203792,0.8421052631578947,0.8333333333333334,0.837696335078534,0.909873188405797
21,0.32433487971623737,0.38640425640259873,0.8436018957345972,0.8181818181818182,0.84375,0.8307692307692308,0.9122282608695652
22,0.3156731218488474,0.3910442353424868,0.8578199052132701,0.84375,0.84375,0.84375,0.9105072463768116
23,0.320585946418778,0.39278470375244084,0.8530805687203792,0.8282828282828283,0.8541666666666666,0.841025641025641,0.9102355072463768
24,0.30863548930146656,0.3863581700771341,0.8578199052132701,0.8367346938775511,0.8541666666666666,0.845360824742268,0.9133152173913043
25,0.3090430641301586,0.38717895400185154,0.8625592417061612,0.845360824742268,0.8541666666666666,0.8497409326424871,0.9132246376811594
26,0.30499851176888637,0.3953392004232271,0.8483412322274881,0.82,0.8541666666666666,0.8367346938775511,0.9101449275362319
27,0.29500838214463043,0.4125770982266602,0.8341232227488151,0.8279569892473119,0.8020833333333334,0.8148148148148148,0.9054347826086957
28,0.30358930987395427,0.3859368821879699,0.8578199052132701,0.8367346938775511,0.8541666666666666,0.845360824742268,0.9157608695652174
29,0.2907089125784832,0.3919766908997043,0.8530805687203792,0.8350515463917526,0.84375,0.8393782383419689,0.9135869565217392
30,0.3002313537388368,0.4063131678584628,0.8436018957345972,0.8315789473684211,0.8229166666666666,0.8272251308900523,0.9099637681159419
31,0.29150147967632695,0.3939678039031006,0.8483412322274881,0.82,0.8541666666666666,0.8367346938775511,0.9117753623188406
32,0.29404164285068696,0.3958455371489457,0.8530805687203792,0.8350515463917526,0.84375,0.8393782383419689,0.9119565217391304
33,0.29228797795368117,0.4039164655863956,0.8436018957345972,0.8247422680412371,0.8333333333333334,0.8290155440414507,0.9107789855072463
34,0.2853055303984831,0.3997306321610772,0.8530805687203792,0.8217821782178217,0.8645833333333334,0.8426395939086294,0.9125
35,0.2872100362149846,0.40639743018206825,0.8436018957345972,0.8247422680412371,0.8333333333333334,0.8290155440414507,0.9116847826086956
36,0.28424876074561867,0.39560908029712205,0.8578199052132701,0.8235294117647058,0.875,0.8484848484848485,0.914945652173913
37,0.2818281664684291,0.4143714346168165,0.8436018957345972,0.8247422680412371,0.8333333333333334,0.8290155440414507,0.9092391304347827
38,0.2767472498711035,0.4003529973080938,0.8483412322274881,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9157608695652173
39,0.27448005060425573,0.41170271793247964,0.8388625592417062,0.8444444444444444,0.7916666666666666,0.8172043010752689,0.9128623188405797
40,0.26818459725818317,0.40861704147539996,0.8436018957345972,0.8118811881188119,0.8541666666666666,0.8324873096446701,0.9115036231884058
41,0.27181010573996345,0.4028993443855177,0.8578199052132701,0.851063829787234,0.8333333333333334,0.8421052631578947,0.9152173913043479
42,0.2760679351159262,0.4168263832680987,0.8388625592417062,0.8163265306122449,0.8333333333333334,0.8247422680412371,0.9093297101449276
43,0.2729430693783935,0.4110523458058235,0.8341232227488151,0.8080808080808081,0.8333333333333334,0.8205128205128205,0.9108695652173913
44,0.2639457040763552,0.4155685963788869,0.8483412322274881,0.8404255319148937,0.8229166666666666,0.8315789473684211,0.9141304347826087
45,0.2654490876735176,0.4139944146171,0.8388625592417062,0.8229166666666666,0.8229166666666666,0.8229166666666666,0.9155797101449276
46,0.26897561348630017,0.4185656660117244,0.8625592417061612,0.8316831683168316,0.875,0.8527918781725888,0.9110507246376811
47,0.2686063238769805,0.42465782822308384,0.8436018957345972,0.8247422680412371,0.8333333333333334,0.8290155440414507,0.9092391304347825
48,0.26497663170417435,0.40237924555466636,0.8483412322274881,0.82,0.8541666666666666,0.8367346938775511,0.9172101449275363
49,0.2532608309144227,0.4194138353046083,0.8436018957345972,0.8387096774193549,0.8125,0.8253968253968254,0.9145833333333333
50,0.2577223163164383,0.4132063691084984,0.8483412322274881,0.82,0.8541666666666666,0.8367346938775511,0.9134057971014493
51,0.2603946234124977,0.44865631414533225,0.8341232227488151,0.8426966292134831,0.78125,0.8108108108108109,0.907427536231884
52,0.2588245222082059,0.4264866963946989,0.8388625592417062,0.8369565217391305,0.8020833333333334,0.8191489361702128,0.9131340579710144
53,0.26766406316067115,0.42583656275724346,0.8341232227488151,0.8144329896907216,0.8229166666666666,0.8186528497409327,0.9128623188405798
54,0.25663884936844045,0.42818298441538877,0.8436018957345972,0.8315789473684211,0.8229166666666666,0.8272251308900523,0.9114130434782609
55,0.25772211234906106,0.42567024750732135,0.8530805687203792,0.8421052631578947,0.8333333333333334,0.837696335078534,0.9123188405797101
56,0.24549673955494258,0.4312600595832436,0.8436018957345972,0.8387096774193549,0.8125,0.8253968253968254,0.9133152173913044
57,0.25495946251766255,0.4419746990734932,0.8530805687203792,0.8282828282828283,0.8541666666666666,0.841025641025641,0.9090579710144927
58,0.25497037375595505,0.4315806755098686,0.8436018957345972,0.8247422680412371,0.8333333333333334,0.8290155440414507,0.9141304347826087
59,0.24603484668199985,0.4438029522720671,0.8530805687203792,0.8421052631578947,0.8333333333333334,0.837696335078534,0.9115942028985508
60,0.23376110128943464,0.4463851089584884,0.8530805687203792,0.8571428571428571,0.8125,0.8342245989304813,0.9134963768115942
61,0.23810903996688756,0.4434266835451126,0.8578199052132701,0.83,0.8645833333333334,0.8469387755102041,0.908786231884058
62,0.2349702241617307,0.45404304853547806,0.8483412322274881,0.8478260869565217,0.8125,0.8297872340425532,0.9116847826086957
63,0.24712599794494158,0.45723028036090435,0.8436018957345972,0.8539325842696629,0.7916666666666666,0.8216216216216217,0.9109601449275362
64,0.2379884411573127,0.46340893286664336,0.8483412322274881,0.8478260869565217,0.8125,0.8297872340425532,0.9092391304347827
65,0.2323524956177138,0.4599069554658863,0.8436018957345972,0.8247422680412371,0.8333333333333334,0.8290155440414507,0.9091485507246377
66,0.2371964569723903,0.4712655357839937,0.8246445497630331,0.8041237113402062,0.8125,0.8082901554404145,0.9065670289855072
67,0.2290622366157008,0.48405500215376723,0.8104265402843602,0.8043478260869565,0.7708333333333334,0.7872340425531915,0.901177536231884
68,0.22564849345850915,0.4709134332800364,0.8341232227488151,0.8144329896907216,0.8229166666666666,0.8186528497409327,0.9077898550724638
69,0.23401463445395337,0.4721963783434782,0.8246445497630331,0.8172043010752689,0.7916666666666666,0.8042328042328042,0.9100090579710145
70,0.2299854959386665,0.4822676724167232,0.8293838862559242,0.8409090909090909,0.7708333333333334,0.8043478260869565,0.9048913043478262
71,0.22949736230384696,0.4748967093596526,0.8293838862559242,0.8191489361702128,0.8020833333333334,0.8105263157894737,0.9098278985507247
72,0.23806952849507756,0.4868324123570139,0.8199052132701422,0.8222222222222222,0.7708333333333334,0.7956989247311828,0.9045742753623188
73,0.22594034314721223,0.4751130353076763,0.8341232227488151,0.8210526315789474,0.8125,0.8167539267015707,0.908106884057971
