experiment,hidden_layers,dropout,epochs_trained,best_epoch,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
small_mlp,[32],0.2,100,39,0.37768070449196334,0.8388625592417062,0.8163265306122449,0.8333333333333334,0.8247422680412371,0.9179347826086957,0.32788888227318136,0.8720379146919431,0.8415841584158416,0.8854166666666666,0.8629441624365483,0.9341032608695652
recommended_mlp,"[64, 32]",0.2,100,13,0.3770044338646658,0.8578199052132701,0.8367346938775511,0.8541666666666666,0.845360824742268,0.9156702898550725,0.31998690157705006,0.8530805687203792,0.8282828282828283,0.8541666666666666,0.841025641025641,0.9349184782608696
large_mlp,"[128, 64, 32]",0.2,100,14,0.3627139240927041,0.8578199052132701,0.851063829787234,0.8333333333333334,0.8421052631578947,0.9245471014492753,0.33684634088904936,0.8436018957345972,0.8058252427184466,0.8645833333333334,0.8341708542713567,0.9296648550724638
