epoch,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc
1,0.6750519000621311,0.6226564676840723,0.7156398104265402,0.75,0.5625,0.6428571428571429,0.8251811594202898
2,0.572280477834059,0.5177059272454249,0.7535545023696683,0.7244897959183674,0.7395833333333334,0.7319587628865979,0.8354166666666666
3,0.5014362448333703,0.4760513572613775,0.7725118483412322,0.75,0.75,0.75,0.8586956521739131
4,0.4534929610373428,0.45030556414364636,0.7962085308056872,0.7912087912087912,0.75,0.7700534759358288,0.8714673913043478
5,0.4296851227433373,0.4454625279982508,0.8009478672985783,0.8,0.75,0.7741935483870968,0.8761775362318841
6,0.41790560602010496,0.42994462285561585,0.8199052132701422,0.79,0.8229166666666666,0.8061224489795918,0.8854166666666667
7,0.40006288028767384,0.42153883672438525,0.8151658767772512,0.8,0.7916666666666666,0.7958115183246073,0.8923007246376812
8,0.37372976990498397,0.41547947952532654,0.8246445497630331,0.8241758241758241,0.78125,0.8021390374331551,0.8950181159420291
9,0.37233268892920596,0.395756703982421,0.8151658767772512,0.7821782178217822,0.8229166666666666,0.8020304568527918,0.906159420289855
10,0.3587232492996705,0.3970257886354392,0.8388625592417062,0.8297872340425532,0.8125,0.8210526315789474,0.903804347826087
11,0.36115587613195144,0.39019988286551704,0.8246445497630331,0.8041237113402062,0.8125,0.8082901554404145,0.9063405797101449
12,0.3473294768327779,0.3839398948078472,0.8483412322274881,0.8404255319148937,0.8229166666666666,0.8315789473684211,0.9082427536231884
13,0.3468438250102182,0.3947627672228203,0.8341232227488151,0.801980198019802,0.84375,0.8223350253807107,0.9057065217391305
14,0.3345150018855487,0.38082481292186754,0.8483412322274881,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.911141304347826
15,0.3269953688834203,0.38170938320916975,0.8578199052132701,0.8173076923076923,0.8854166666666666,0.85,0.9116847826086956
16,0.3217680000325539,0.3809951081942608,0.8530805687203792,0.8037383177570093,0.8958333333333334,0.8472906403940886,0.9110507246376812
17,0.3236181813061308,0.3719663704034841,0.8720379146919431,0.8484848484848485,0.875,0.8615384615384616,0.9159420289855073
18,0.30692397940059857,0.37921674697885016,0.8578199052132701,0.83,0.8645833333333334,0.8469387755102041,0.9140398550724639
19,0.3118378291987015,0.38166162823613786,0.8625592417061612,0.8316831683168316,0.875,0.8527918781725888,0.9141304347826087
20,0.3015859999549205,0.3822963785079983,0.8625592417061612,0.8316831683168316,0.875,0.8527918781725888,0.9141304347826087
21,0.29839261394095734,0.38243665662704485,0.8625592417061612,0.845360824742268,0.8541666666666666,0.8497409326424871,0.9154891304347826
22,0.2899918358768574,0.38936534714642296,0.8625592417061612,0.845360824742268,0.8541666666666666,0.8497409326424871,0.9122282608695652
23,0.2952376887255292,0.39172402116077204,0.8341232227488151,0.8279569892473119,0.8020833333333334,0.8148148148148148,0.9134057971014493
24,0.2906670018871484,0.3990442173034659,0.8530805687203792,0.8282828282828283,0.8541666666666666,0.841025641025641,0.9057971014492753
25,0.2875465348380599,0.3888406509189244,0.8625592417061612,0.8316831683168316,0.875,0.8527918781725888,0.9125
