experiment,hidden_layers,dropout,epochs_trained,best_epoch,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
small_mlp,[32],0.25,100,94,0.35967885305657205,0.8490127758420442,0.8455497382198953,0.8197969543147208,0.8324742268041238,0.919673039924347,0.34894901147149027,0.8478513356562137,0.8525469168900804,0.8071065989847716,0.8292046936114733,0.9242899379341081
recommended_mlp,"[64, 32]",0.25,100,94,0.33347779886232437,0.8606271777003485,0.8374384236453202,0.8629441624365483,0.85,0.9342085240056957,0.3436049181063693,0.8699186991869918,0.8525,0.8654822335025381,0.8589420654911839,0.930616093653192
large_mlp,"[128, 64, 32]",0.25,100,60,0.32303782293743927,0.8536585365853658,0.8252427184466019,0.8629441624365483,0.8436724565756824,0.9385102011978391,0.3292466637426414,0.8687572590011614,0.853904282115869,0.8604060913705583,0.8571428571428571,0.9357031054685376
