experiment,hidden_layers,dropout,epochs_trained,best_epoch,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
small_mlp,[32],0.3,150,47,0.3882674899711428,0.8341232227488151,0.8210526315789474,0.8125,0.8167539267015707,0.9091485507246377,0.32277534937406605,0.8530805687203792,0.8217821782178217,0.8645833333333334,0.8426395939086294,0.9358242753623188
recommended_mlp,"[64, 32]",0.3,150,19,0.38791104840441337,0.8341232227488151,0.8210526315789474,0.8125,0.8167539267015707,0.9097826086956521,0.33363431833366647,0.8483412322274881,0.826530612244898,0.84375,0.8350515463917526,0.9330163043478261
large_mlp,"[128, 64, 32]",0.3,150,17,0.3719663704034841,0.8720379146919431,0.8484848484848485,0.875,0.8615384615384616,0.9159420289855073,0.3256014873631193,0.8672985781990521,0.8269230769230769,0.8958333333333334,0.86,0.9316576086956522
