epoch,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc
1,0.635534058686253,0.5922613256915485,0.7298578199052133,0.782608695652174,0.5625,0.6545454545454545,0.7978260869565217
2,0.5693404758669445,0.5484519321206621,0.7345971563981043,0.7702702702702703,0.59375,0.6705882352941176,0.8245471014492755
3,0.5408313992043265,0.5231854078046518,0.7535545023696683,0.7619047619047619,0.6666666666666666,0.7111111111111111,0.8412137681159421
4,0.5104524648062275,0.5029169014562362,0.7772511848341233,0.7752808988764045,0.71875,0.745945945945946,0.8490036231884057
5,0.4895212364649292,0.48662879088478633,0.7819905213270142,0.7840909090909091,0.71875,0.75,0.8583333333333334
6,0.47671272088624406,0.47409959031507304,0.7867298578199052,0.7684210526315789,0.7604166666666666,0.7643979057591623,0.8642210144927536
7,0.45804794251141034,0.46402153556380793,0.7819905213270142,0.7659574468085106,0.75,0.7578947368421053,0.8681159420289856
8,0.4472755944601582,0.45658587844450893,0.7819905213270142,0.7659574468085106,0.75,0.7578947368421053,0.8705615942028986
9,0.4347599540104645,0.4484735543693976,0.7914691943127962,0.776595744680851,0.7604166666666666,0.7684210526315789,0.875
10,0.4262492293989107,0.44271172689035604,0.8009478672985783,0.78125,0.78125,0.78125,0.8765398550724638
11,0.41987674721336593,0.438332040163013,0.7914691943127962,0.776595744680851,0.7604166666666666,0.7684210526315789,0.8781702898550725
12,0.40974937925559346,0.4322088746380467,0.8056872037914692,0.7956989247311828,0.7708333333333334,0.783068783068783,0.8817934782608695
13,0.40487652868562746,0.4291755631919156,0.8104265402843602,0.7857142857142857,0.8020833333333334,0.7938144329896907,0.883876811594203
14,0.4058678341788612,0.42405718960468236,0.8199052132701422,0.8020833333333334,0.8020833333333334,0.8020833333333334,0.8868659420289855
15,0.3915504876829127,0.41851057839619604,0.8151658767772512,0.7938144329896907,0.8020833333333334,0.7979274611398963,0.8905797101449276
16,0.39759958833279274,0.41552651309854044,0.8199052132701422,0.7959183673469388,0.8125,0.8041237113402062,0.8929347826086956
17,0.38509881100479254,0.41618717747841966,0.8199052132701422,0.8020833333333334,0.8020833333333334,0.8020833333333334,0.8923007246376812
18,0.38201643036919275,0.4142971740797233,0.8246445497630331,0.8041237113402062,0.8125,0.8082901554404145,0.8923913043478261
19,0.3821457994224621,0.4100072635293572,0.8293838862559242,0.8125,0.8125,0.8125,0.8954710144927537
20,0.3800368274375354,0.4071499148816294,0.8246445497630331,0.8105263157894737,0.8020833333333334,0.806282722513089,0.8981884057971015
21,0.37863854450545986,0.40449791482839537,0.8293838862559242,0.8125,0.8125,0.8125,0.8994565217391304
22,0.3690572120470226,0.4012840025797839,0.8199052132701422,0.7959183673469388,0.8125,0.8041237113402062,0.901358695652174
23,0.36986997108442504,0.40164180827366797,0.8246445497630331,0.8041237113402062,0.8125,0.8082901554404145,0.901358695652174
24,0.3685789853864717,0.40308017696814513,0.8199052132701422,0.8020833333333334,0.8020833333333334,0.8020833333333334,0.9010869565217391
25,0.3672178311987138,0.40080825525437486,0.8246445497630331,0.8105263157894737,0.8020833333333334,0.806282722513089,0.9026268115942029
26,0.3624305865094331,0.3975778720672662,0.8293838862559242,0.8125,0.8125,0.8125,0.9039855072463768
27,0.35319343113814383,0.39932123645786993,0.8246445497630331,0.8105263157894737,0.8020833333333334,0.806282722513089,0.9027173913043479
28,0.36183032312144303,0.3960118998565945,0.8293838862559242,0.8125,0.8125,0.8125,0.9039855072463767
29,0.35673728984728686,0.39663675187323333,0.8293838862559242,0.8125,0.8125,0.8125,0.9040760869565218
30,0.35056246283286263,0.3957516060903739,0.8388625592417062,0.8229166666666666,0.8229166666666666,0.8229166666666666,0.9040760869565218
31,0.34552091519179295,0.397375584496141,0.8341232227488151,0.8210526315789474,0.8125,0.8167539267015707,0.9027173913043478
32,0.34169230773638437,0.39306229141086196,0.8341232227488151,0.8210526315789474,0.8125,0.8167539267015707,0.9039855072463767
33,0.3486040823011353,0.3924223721309861,0.8388625592417062,0.8229166666666666,0.8229166666666666,0.8229166666666666,0.9049818840579711
34,0.3414928101772091,0.39477465488899377,0.8293838862559242,0.8125,0.8125,0.8125,0.9042572463768116
35,0.3396315001578801,0.39364354912703636,0.8341232227488151,0.8210526315789474,0.8125,0.8167539267015707,0.904891304347826
36,0.3397779647848643,0.39229623090599386,0.8341232227488151,0.8210526315789474,0.8125,0.8167539267015707,0.9061594202898551
37,0.33570196086260207,0.391501270199274,0.8293838862559242,0.8191489361702128,0.8020833333333334,0.8105263157894737,0.9055253623188406
38,0.3356097703302458,0.3899266647784066,0.8388625592417062,0.8297872340425532,0.8125,0.8210526315789474,0.9068840579710145
39,0.3271571148898395,0.3873418393010777,0.8388625592417062,0.8229166666666666,0.8229166666666666,0.8229166666666666,0.9081521739130435
